orbit_id,e,a,i,om,w,ma,n,tp,moid,moid_jup,class,producer,data_arc,n_obs_used,rms,diameter,albedo,diameter_sigma,first_year_obs,first_month_obs,last_obs_year,last_obs_month
JPL 27,0.2846478918132989,2.545009101555745,5.53333457957173,326.30018413706836,71.90616897843486,329.7146830004773,0.2427560510685921,2458725.256177513,0.8364290000000001,2.2084200000000003,MBA,Otto Matic,38763.0,2021,0.45053999999999994,7.991,0.303,0.9620000000000001,1913,9,2019,11
JPL 31,0.07858120286967805,2.1959457453879008,5.202224914520646,7.826439649155525,115.6155909361078,43.78176974581357,0.302880745109583,2458455.948817884,1.04526,2.66276,MBA,Otto Matic,38034.0,2782,0.4273,7.423,0.292,0.193,1915,3,2019,5
JPL 73,0.1918064434083971,2.2830074614192184,7.144705141055884,154.5182618428435,196.37078325788897,2.2816903504767407,0.2857216027261152,2458592.514288284,0.839139,2.7028,MBA,Otto Matic,38095.0,3025,0.42227,9.45,0.379,0.184,1915,8,2019,11
JPL 37,0.1802356940038849,2.178944814629146,2.611783100554585,152.69487936602007,195.8617231891713,75.69280564284372,0.3064324314213838,2458353.486962601,0.778894,2.84025,MBA,Otto Matic,38066.0,2903,0.44538999999999995,8.104,0.22399999999999998,0.11900000000000001,1915,9,2019,11
JPL 36,0.1417233962275778,2.197802560894146,4.895619425501215,333.12818192720454,306.3441121276072,125.62827695897042,0.3024969925792358,2458185.195781972,0.874361,2.62345,MBA,Otto Matic,42073.0,2983,0.43651,8.917,0.27699999999999997,0.18600000000000005,1904,9,2019,11
JPL 30,0.1554517129568915,2.2551585084105965,0.7172436730213546,210.11108918186508,247.2493413486952,225.784602462827,0.2910304729406681,2459061.67300426,0.921666,2.5478400000000003,MBA,Otto Matic,37860.0,2589,0.44503000000000004,8.243,0.349,0.336,1916,4,2019,11
JPL 30,0.1560459133206086,2.274476553305109,3.421524033217386,172.87185246892503,195.5943058539586,317.3455122200705,0.2873305985627275,2458748.950906353,0.9178709999999999,2.82838,MBA,Otto Matic,37710.0,2654,0.45508999999999994,8.488,0.129,0.165,1916,8,2019,11
JPL 27,0.1463432107588758,2.21225132990754,4.8361523042719385,178.06926439303746,225.1829526798492,30.50883195388175,0.2995383110022175,2458498.64714568,0.8998010000000001,2.8506299999999998,MBA,Otto Matic,37688.0,2336,0.44153000000000003,7.218,0.257,0.113,1916,9,2019,11
JPL 30,0.1765009052240917,2.190404216095267,4.846382551583182,199.8032905594271,179.66620577285633,218.96533508557042,0.3040308640877645,2459064.38272236,0.8053020000000001,2.87922,MBA,Otto Matic,42357.0,2307,0.4625,5.757,0.19399999999999998,0.062,1903,8,2019,8
JPL 31,0.04149577650534613,2.297858830535523,6.737074881567353,200.0429147237379,172.80122821184898,144.88317681039968,0.2829560978260264,2458088.465879076,1.20189,2.75527,MBA,Otto Matic,37484.0,2719,0.4051300000000001,5.968,0.467,0.09,1916,9,2019,5
